t_us,raw
11556,6650
16556,6651
21556,6652
26556,6650
31560,6652
36560,6652
41560,6652
46564,6651
51564,6651
56564,6652
61568,6650
66572,6651
71572,6651
76572,6651
81572,6651
86572,6651
91572,6651
96572,6651
101572,6651
106572,6651
111572,6651
116572,6651
121572,6651
126572,6651
131572,6650
136576,6651
141576,6651
146576,6652
151576,6650
156576,6651
161576,6651
166576,6650
171576,6652
176576,6652
181576,6651
186576,6651
191576,6651
196576,6651
201576,6651
206576,6651
211576,6650
216580,6651
221580,6652
226580,6651
231580,6650
236580,6652
241580,6651
246580,6651
251580,6652
256580,6651
261584,6650
266584,6651
271584,6650
276584,6651
281584,6650
286588,6651
291588,6651
296588,6651
301588,6651
306588,6652
311588,6651
316588,6650
321588,6651
326588,6652
331588,6651
336588,6652
341588,6651
346588,6651
351588,6651
356588,6651
361588,6651
366592,6651
371596,6651
376596,6652
381596,6651
386596,6651
391600,6651
396600,6651
401600,6652
406604,6651
411604,6651
416604,6651
421604,6651
426604,6650
431604,6651
436604,6652
441604,6652
446604,6651
451604,6650
456604,6652
461604,6650
466604,6650
471604,6650
476604,6650
481604,6650
486604,6651
491604,6650
496604,6651
501608,6650
506608,6650
511612,6651
516612,6651
521612,6651
526612,6651
531616,6652
536616,6651
541616,6652
546616,6651
551616,6651
556616,6651
561616,6651
566616,6651
571616,6650
576620,6651
581620,6650
586620,6650
591620,6650
596620,6652
601620,6651
606620,6650
611620,6650
616620,6651
621620,6651
626620,6650
631620,6650
636620,6650
641620,6651
646620,6651
651620,6651
656624,6651
661624,6651
666632,6651
671632,6651
676632,6652
681632,6652
686632,6650
691632,6651
696632,6652
701632,6652
706632,6650
711632,6650
716632,6650
721632,6650
726632,6650
731632,6650
736632,6650
741632,6651
746632,6651
751632,6650
756632,6651
761632,6650
766632,6651
771632,6651
776636,6651
781636,6650
786636,6651
791636,6650
796640,6651
801644,6651
806644,6651
811644,6651
816644,6650
821644,6650
826644,6650
831644,6651
836644,6650
841644,6651
846644,6650
851644,6651
856644,6650
861644,6651
866644,6650
871644,6650
876648,6650
881648,6651
886648,6650
891648,6651
896648,6651
901648,6651
906648,6650
911648,6650
916648,6651
921652,6651
926652,6650
931652,6650
936652,6651
941652,6651
946652,6651
951652,6650
956652,6650
961652,6651
966652,6651
971652,6652
976652,6650
981652,6649
986652,6651
991652,6651
996652,6651
1001652,6651
1006652,6651
1011652,6649
1016656,6650
1021656,6650
1026656,6651
1031656,6651
1036656,6650
1041656,6650
1046656,6650
1051656,6651
1056656,6651
1061656,6650
