t_us,raw
11556,6641
16556,6641
21556,6641
26556,6641
31560,6640
36564,6641
41568,6642
46568,6640
51568,6641
56572,6641
61572,6641
66572,6642
71572,6641
76572,6641
81572,6642
86572,6641
91572,6641
96572,6642
101572,6642
106572,6642
111572,6641
116572,6642
121572,6641
126572,6642
131572,6641
136572,6642
141572,6641
146572,6642
151572,6641
156572,6641
161572,6641
166572,6640
171572,6641
176572,6641
181572,6641
186572,6642
191572,6641
196576,6641
201580,6642
206580,6641
211584,6642
216584,6642
221588,6642
226588,6642
231588,6641
236588,6641
241588,6642
246588,6641
251588,6642
256588,6641
261588,6641
266588,6642
271588,6641
276588,6641
281588,6641
286588,6642
291588,6641
296588,6641
301592,6641
306592,6642
311592,6641
316592,6641
321592,6642
326592,6641
331592,6641
336592,6643
341596,6642
346596,6641
351596,6641
356596,6641
361596,6641
366600,6642
371600,6641
376600,6642
381600,6642
386600,6642
391600,6640
396600,6642
401600,6642
406604,6641
411604,6641
416604,6642
421604,6641
426604,6641
431604,6641
436604,6641
441604,6641
446604,6641
451604,6641
456604,6640
461604,6642
466604,6641
471604,6641
476604,6641
481604,6642
486604,6642
491604,6642
496604,6641
501604,6642
506604,6641
511604,6641
516608,6641
521608,6641
526608,6642
531608,6640
536608,6642
541608,6642
546608,6642
551608,6641
556612,6641
561612,6642
566612,6642
571616,6641
576616,6642
581616,6641
586616,6642
591616,6640
596616,6642
601616,6642
606616,6642
611616,6642
616616,6641
621616,6641
626616,6641
631616,6641
636616,6642
641620,6642
646620,6641
651620,6641
656624,6640
661624,6642
666628,6641
671628,6641
676628,6641
681628,6642
686628,6641
691628,6642
696628,6642
701628,6641
706632,6641
711632,6641
716632,6641
721636,6641
726636,6641
731636,6641
736636,6641
741636,6641
746636,6641
751636,6642
756636,6641
761636,6641
766636,6642
771636,6641
776636,6641
781636,6641
786636,6640
791636,6641
796636,6641
801640,6641
806640,6641
811640,6641
816640,6641
821640,6641
826640,6641
831640,6640
836640,6641
841640,6640
846640,6641
851640,6641
856640,6640
861640,6642
866640,6641
871640,6641
876640,6641
881640,6641
886644,6641
891644,6641
896648,6641
901648,6641
906648,6641
911648,6640
916648,6641
921648,6641
926648,6640
931648,6641
936652,6641
941652,6641
946656,6641
951656,6642
956656,6641
961656,6641
966664,6640
971664,6641
976664,6641
981664,6641
986664,6640
991664,6641
996668,6640
1001668,6641
1006668,6642
1011668,6641
1016672,6642
1021672,6642
1026672,6641
1031672,6642
1036672,6641
1041672,6641
1046672,6641
1051672,6641
1056672,6641
1061672,6641
1066672,6640
1071672,6641
1076676,6641
1081676,6641
1086676,6640
1091676,6641
1096676,6641
1101676,6641
1106676,6641
1111676,6641
1116676,6641
1121676,6642
1126676,6641
1131680,6641
1136680,6640
1141680,6642
1146680,6641
1151680,6641
1156680,6641
1161680,6641
1166680,6641
1171680,6641
1176680,6641
1181680,6641
1186680,6641
1191680,6640
1196680,6640
1201680,6641
1206680,6641
1211680,6641
1216680,6640
1221680,6642
1226680,6641
1231680,6640
1236680,6641
1241680,6641
1246680,6641
1251680,6640
1256680,6641
1261680,6641
1266680,6641
1271680,6639
1276680,6641
1281680,6640
1286680,6642
1291680,6641
1296680,6640
1301680,6641
1306680,6642
1311684,6640
1316684,6640
1321684,6640
1326684,6641
1331684,6639
1336684,6641
1341684,6640
1346684,6641
1351688,6640
1356688,6641
1361692,6641
1366696,6641
1371696,6640
1376696,6641
1381700,6641
1386700,6640
1391700,6639
1396704,6641
1401704,6640
1406704,6640
1411704,6640
1416704,6640
1421708,6641
1426708,6640
1431708,6641
1436708,6641
1441708,6641
1446708,6640
1451708,6641
1456708,6641
1461708,6642
1466708,6641
1471708,6640
1476708,6641
1481708,6640
1486708,6641
1491708,6640
1496708,6641
1501708,6640
1506708,6641
1511708,6640
1516708,6641
1521712,6640
1526712,6640
1531712,6641
1536712,6640
1541712,6640
1546712,6640
1551712,6640
1556712,6642
1561712,6641
1566712,6640
1571712,6641
1576712,6640
1581712,6641
1586712,6641
1591712,6641
1596712,6641
1601716,6641
1606716,6640
1611716,6641
1616716,6640
1621720,6641
1626724,6641
1631724,6640
1636724,6642
1641724,6641
1646724,6640
1651724,6640
1656728,6641
1661732,6642
1666732,6640
1671732,6639
1676732,6642
1681732,6640
1686732,6641
1691732,6640
1696732,6641
1701736,6642
1706736,6640
1711740,6640
1716740,6640
1721740,6641
1726744,6640
1731744,6640
1736744,6642
1741744,6641
1746744,6641
1751744,6641
1756744,6640
1761744,6641
1766744,6640
1771748,6641
1776748,6641
1781748,6641
1786752,6640
1791756,6641
1796756,6641
1801756,6641
1806756,6640
1811756,6640
1816756,6640
1821756,6642
1826756,6641
1831756,6640
1836760,6641
1841760,6641
1846760,6641
1851760,6640
1856760,6640
1861760,6641
1866760,6640
1871760,6641
1876760,6640
1881760,6641
1886760,6641
1891760,6641
1896764,6641
1901764,6642
1906764,6641
1911764,6640
1916764,6641
1921764,6641
1926764,6640
